정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,시도,시군구,읍면동
CAB285001476,성환e편한세상,36.90125455,127.1315899,2025-10-31,1476,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285001477,옹골부락,36.8293063,127.1655424,2025-10-31,1477,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,신안동
CAB285001478,단국대학교,36.83519294,127.1689097,2025-10-31,1478,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,신안동
CAB285001481,아랫말,36.81361963,127.1755174,2025-10-31,1481,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,원성1동
CAB285001482,대전충남양계축협,36.8081761,127.1614679,2025-10-31,1482,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,원성1동
CAB285001483,두정역푸르지오 남문,36.83230796,127.1508891,2025-10-31,1483,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성1동
CAB285001484,한기대(두정),36.8391863,127.1421457,2025-10-31,1484,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성2동
CAB285001485,두정대우3차아파트,36.83879962,127.1437691,2025-10-31,1485,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성1동
CAB285001486,천안성정동우체국,36.8302613,127.1341373,2025-10-31,1486,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성정2동
CAB285001487,두정고등학교,36.83394293,127.1325424,2025-10-31,1487,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성2동
CAB285001488,두정대우5차아파트,36.83410081,127.1290377,2025-10-31,1488,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성2동
CAB285001489,두정대우5차아파트,36.83384512,127.1291587,2025-10-31,1489,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성2동
CAB285001490,두정세광아파트,36.82930045,127.127192,2025-10-31,1490,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285001491,두정세광아파트,36.82923299,127.1274424,2025-10-31,1491,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성2동
CAB285001492,두정부경아파트,36.82692875,127.1271321,2025-10-31,1492,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285001493,두정부경아파트,36.82681797,127.1273941,2025-10-31,1493,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성2동
CAB285001494,백석종합상가,36.82208647,127.1245917,2025-10-31,1494,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285001495,백석종합상가,36.82225226,127.1249236,2025-10-31,1495,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285001496,백석초등학교,36.8205491,127.1200824,2025-10-31,1496,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285001497,백석초등학교,36.82076373,127.1207639,2025-10-31,1497,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285001498,주공그린빌3차아파트,36.819102,127.1196895,2025-10-31,1498,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285001499,백석호반2차아파트,36.81925199,127.1199854,2025-10-31,1499,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285001500,백석11단지,36.81876387,127.1179086,2025-10-31,1500,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285001501,백석호반1차아파트,36.81835357,127.1189338,2025-10-31,1501,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285001502,천안시청,36.816015,127.116011,2025-10-31,1502,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,불당1동
CAB285001503,천안시청,36.816068,127.114488,2025-10-31,1503,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,불당1동
CAB285001504,천안시청시의회,36.81572,127.112165,2025-10-31,1504,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,불당1동
CAB285001505,천안시청시의회,36.81592336,127.1126769,2025-10-31,1505,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,불당1동
